,chatID,personType,personID,createdAt,plainText,language
10094,I8a7433446f3m,user,F82822184c55r,2021-03-09 13:03:00,수강정정 끝난 후의 출석부가 반영이 되었는지요? 아직 안된 것 같아서 문의드립니다.,kor
10104,B933924946f3l,user,W61416602a2ee,2021-03-09 13:04:10,왜 코스에 대한 알림이 제 메일로는 안 오는지 궁금합니다. 정확하게 메일 주소를 입력했는데 오지 않습니다. 초반에는 몇 개 왔으나 정정기간 이후로는 전혀 오지 않습니다. 확인 부탁드립니다.,kor
10108,Ld97165246f4i,user,Y39267394c6el,2021-03-09 13:07:06,안녕하세요,kor
10129,F3e6661646f4o,user,S32800093bd1w,2021-03-09 13:09:05,블랙보드 관련 질문입니다. 독일어3(AII-1) (02분반)에 2015130906 조용일 및 2017130917 임성균 학생을 청강생으로 등록했는데 그 과목 온라인 강의실 user 에 두 학생의 이름이 뜨지 않습니다. 두 학생이 제대로 등록되었는지 확인해 주실 수 있으신가요?,kor
10139,H671591146f6l,user,Nc4541404b64h,2021-03-09 13:17:06,블랙보드 앱 알림이 며칠 전부터 안떠요ㅜ,kor
10142,K357433046f6h,user,A7a867462ccdm,2021-03-09 13:17:28,블랙보드 호랑이 얼굴 치우는 방법 있나요?,kor
10145,Afb9220746f7i,user,Nd2617334c4by,2021-03-09 13:19:54,"수강학생이 강의 동영상 시청후 바로 출석여부 확인을 위해
영상출석현황을 열어달라고 하는데 어떻게 하는지 알려주세요",kor
10155,V158970046f7n,user,O7b6072946f2f,2021-03-09 13:20:10,"안녕하세요  궁금한게 있는데 혹시 우리 학교 지원한 코드 표절 검사할 수 있는 software있나요? 지금 조교 일을 맡고 있는데 학생들의 코드 표절 상황 확인 하려고 blackboard safeAssign을 이용했더니 SafeAssign Submission에 아무거도 없더라고요 ㅠㅠ

코드는 일반적인 과제랑 달리 검사할 때 어려운것을 알고 있어요. 그래서 우리 학교 따로 코드 표절 검사할 수 있는 software있냐고 물어보는 거예요. 감사합니다.",kor
10162,N804161646f9h,user,Y3d75875a8c9c,2021-03-09 13:29:29,메일주소 어떻게 바꾸나요?,kor
10165,X096942746faj,user,D66507764c9aa,2021-03-09 13:31:20,안녕하세요 다름이 아니라 제가 청강생으로 등록해놓은 코스가 어제 갑자기 사라졌습니다. 의공학실습 1 01분반이고 교수님께 여쭤봤을때 교수님 화면상으로는 잘 등록되어있다고 하시네요;;,kor
10171,P017021646fax,user,M7d99937ed3ec,2021-03-09 13:32:50,"블랙보드에서 과제제출을 게시판에 게시하는 수업에서 제가 제출이 안된줄 알고 두번 게시했어요. 게시물을 지울 수 있는 방법이 안 보이는데, 게시물을 지울 순 없나요?",kor
10176,E6f6910246fbb,user,Ecb521203dc0x,2021-03-09 13:35:43,선생님~,kor
10189,W4b9392146fdv,user,L4659158586fa,2021-03-09 13:43:58,"안녕하세요? 교양 강사 오현석입니다. '온라인 출석 확인' 관련해서 문의 드립니다. 블래보드에서 '도구'를 통해 온라인 출석을 관리하고 있는데, 학생들 중에 '출석 조회'에 들어가면 '날짜' 항목이 뜨지 않고 수업 날짜만 세로로 나열되는 화면이 나온다고 합니다. 로그 아웃한 후에 다시 로그인해도 같은 현상이 나타난다고 합니다.",kor
10203,O725431946fdj,user,S6c784812a09e,2021-03-09 13:46:14,콜라보레이트의 팀 프로젝트 취소는 어떻게 하나요?,kor
10207,U751021646fej,user,R23550454cach,2021-03-15 16:32:13,안녕하세요. 청강생 등록에 대해 여쭤봅니다. 역할에 게스트로 등록하면 가능한걸까요?,kor
10211,T59374164703q,user,Y6a464813e3ch,2021-03-09 14:13:11,안녕하세요,kor
10230,Bb7207704704y,user,Tab599024700o,2021-03-09 14:14:24,청강하는 과목의 코스가 갑자기 사라졌습니다,kor
10236,Vf3630354704y,user,A47308484704m,2021-03-09 14:17:27,대학원생입니다. 코스에 청강중인 학부 과목이 갑자기 사라졌는데 어떻게 해야되는지 알고 싶습니다.,kor
10243,P75166954709g,user,O87400414c44t,2021-03-09 14:38:04,"안녕하세요, 현재 분석생명과학 조교를 하고 있는 대학원생 입니다.",kor
10282,Za7988984710f,user,Maa681393685v,2021-03-09 15:08:57,출석확인,kor
10288,H96889054711a,user,Ge9476703796x,2021-03-09 15:11:55,안녕하세요 혹시 출결 확인도 되나요?,kor
10307,Z48986184711h,user,E2290377142bq,2021-03-09 15:12:01,"안녕하세요. 청강생 추가 관련 문의드립니다. 
정정기간 이전에 학습자로 등록하였다가, 정정기간 이후 다시 학습자 등록을 하려 하였는데, (청강생은 정정기간 후 학습자에서 빠지는 것으로 알고있습니다) 학생 정보가 users 에서 검색은 되는데 선택이 안됩니다.(왼쪽 네모 클릭창이 이 학생만 없습니다.)
어떻게 하면 되는지요?",kor
10315,Pd0887514712c,user,D66507764c9aa,2021-03-09 15:16:25,안녕하세요 교수님께 청강생 사용가능 설정을 부탁드렸는데 https://ior.ad/7tcL 따라했는데 안된다고 하십니다.. 어떤 부분이 문제인지 여쭤봐야 하나요?,kor
10328,A6a344704714p,user,Ib1131014c27e,2021-03-09 15:23:17,지금 강의를 수강 번복할 수 있는 방법이 있나요? 교수님께 직접 말씀드리면 드롭이 가능한가욮,kor
10336,Q9f726564715v,user,Rb7473394d8av,2021-03-09 15:29:19,녹화강의 들었는지 확인할 수 있는 방법이 있을까요?,kor
10404,Y3d84023471bo,user,F7257135a8ccx,2021-03-09 15:52:27,안녕하세요. 학부수업 조교 맡고 있는 대학원생 입니다. 청강생 등록을 하려면 블랙보드에서 enroll user 들어가서 해당 학생 학번 검색하고 학습자-학생으로 설정하고 submit 버튼 누르면 되나요?,kor
10415,Wed14500471cc,user,V30897074a3es,2021-03-09 15:57:27,안녕하세요 한가지 질문이 있습니다.,kor
10420,Qbf10421471cw,user,Y6a464813e3ch,2021-03-09 15:58:51,넵,kor
10421,Z5449011471fe,user,Ed924883471ex,2021-03-09 16:10:20,안녕하세요? 국제대학원 행정실 입니다.,kor
10432,U18584614720v,user,X3241649b475s,2021-03-09 16:13:59,안녕하세요 과제 채점 중인데 점수를 입력하면 학생들이 자기 점수를 보게 되는 것인지 궁금합니다,kor
10439,Eae216904721j,user,R52420223b56o,2021-03-09 16:21:21,콜라보레이트어케 들어가용?,kor
10442,Db2652234726h,user,Jff625943915g,2021-03-09 16:42:50,녹화강의의 경우 학습완료된것을 어떻게 확인하나요?,kor
10444,Q5a955224727k,user,Ob4872414ca7m,2021-03-09 16:45:07,"안녕하세요 청강생 등록 관해여 질문 드리고 싶습니다.

저는 수업 조교이고
수강정정 이전에 청강생으로 등록했던 분들을 다시 청강생으로 등록하고 싶습니다. (수강 정정 이후에 청강생 등록이 풀려버렸습니다.) 

 기존 방법으로는 등록이 되지 않는데 어떻게 해야할까요?",kor
10447,S26411844728x,user,Ya7264773cc2w,2021-03-09 16:47:54,안녕하세요,kor
10479,Jb2207114729d,user,Nf7613283d78v,2021-03-09 16:51:49,안녕하세요 교수님께서 zoom을 통한 했던 지난 수업들을 학생들이 다운로드할수 있게 권한을 부여해주셨다는 그런 건 어디서 다운받을수있나요?,kor
10485,L9854950472cy,user,H12995743740s,2021-03-09 17:05:20,안녕하세요!! 오늘 5시에 1학년 세미나 장훈 교수님 ZOOM으로 수업이 있으신 걸로 아는데 현재 블랙보드를 통해 ZOOM으로 들어가면 아무것도 없어서 어떻게 된건지 궁금합니다.,kor
10488,Oa181019472cf,user,K879187946fdt,2021-03-09 17:08:25,안녕하세요 특정 기기에서만 블랙보드와 포털사이트가 들어가지지 않습니다,kor
10491,W5c19398472fq,user,Dad738560adau,2021-03-09 17:19:21,"안녕하세요. 줌 실시간 수업에서 교수님이 줌이 기록해놓는 대로 출석 처리를 하신다고 하셨는데요. 줌 실시간 수업의 자동 출석처리는 출석, 지각, 결석의 기준이 어떻게 되나요?",kor
10499,C52116934732t,user,H9f570233906s,2021-03-09 17:33:33,콜라보레이트 강의 시간이 1시간이 다 되어가면 화면이 멈추고 응답 없음으로 뜨다가 강의실에서 튕겨져 나옵니다ㅜㅜ 어떻게 해야하나요?,kor
10502,X8b486314734k,user,D5e777034732y,2021-03-09 17:39:31,다른 기기는 다 되는데 노트북에서만 고려대학교 관련 페이지는 들어가지지 않습니다.,kor
10505,Me2373814736y,user,C98546594c89j,2021-03-09 17:47:14,"안녕하세요, 선생님! 현재 블랙보드 과목 등록 관련해서 (청강 과목) 계속 오류가 발생합니다. 어느 담당자 선생님께 연락드리면 될까요???",kor
10521,Md3419424736o,user,I7f699313dddd,2021-03-09 20:50:41,감사합니다.,kor
10525,Ee8389664739j,user,Ece892934c6ds,2021-03-09 18:02:31,수강정정 후에 신청하지 않은 다른 과목들은 모두 삭제되었는데 생산운영관리(영강) 03분반 강의가 아직 블랙보드에 삭제되지 않았습니다. 삭제 부탁드립니다!!,kor
10530,Ba744058473eb,user,Q1599167a8fcc,2021-03-09 18:21:08,시험문제 출제할 때 보기에 그림(사진)은 못넣나요?,kor
10532,Ud4646274740m,user,Q1599167a8fcc,2021-03-09 18:30:43,시험문제 출제할 때 보기에 그림(사진)은 못넣나요?,kor
10556,X20601144744y,user,C9e784303d94q,2021-03-09 18:49:01,의료책임법온라인강의 줌이 안됩니다.,kor
10559,Mac394544747s,user,Ve011116ab76b,2021-03-09 19:00:44,수업을 블랙보드 줌에서 하기로 했는데 블랙보드에 줌이 뜨지 않습니다.,kor
10562,Mce52859474ax,user,Ve011116ab76b,2021-03-09 19:12:39,네 그랬는데 해결해주셨어요 교수님이,kor
10565,I1c87203474cm,user,W17543763baen,2021-03-09 19:22:30,포럼에 올린 게시물 어떻게 지우나요 ..? ㅠㅠㅠ,kor
10573,C4992774474cx,user,Y21293253dfcd,2021-03-09 19:23:45,줌 접속 아이디,kor
10577,Qe5115244750d,user,Q1599167a8fcc,2021-03-09 19:38:07,시험 문제 낼 때 학생들이 풀고나서 다시 풀 수 없도록 하려면 응시 횟수를 1로 설정하면 되나요?,kor
10613,K54739414757p,user,A074686152ffi,2021-03-09 20:07:49,과제를 올렸는데 다시 올리려면 어떻게 하나요?,kor
10617,Y8759534475af,user,Gb752496e028c,2021-03-09 20:24:21,혹시 게시판에 강의록이 있다는데,kor
10624,G8965352475dl,user,Ked289683d81t,2021-03-09 20:35:40,쪽지 보내는법,kor
10627,B1b73205475ea,user,Ae627012b85ec,2021-03-09 20:40:50,데이터정보특강2 줌 참가가 안됩니다.,kor
10631,Z6b211874768u,user,X6e24989379db,2021-03-09 21:23:34,쪽지보내는 방법,kor
10634,Eac766304770y,user,Fa871631aa46y,2021-03-09 21:56:53,"안녕하세요 교육대학원 상담심리교육 전공 이수연이라고 합니다 현재 학습심리학 수업을 수강하고 있는데 강의를 계속 처음부터 끝까지 다른 작업 하지 않고 들었는데 (6~7회정도) 심지어 노트북 2회, 스마트폰, 아이패드 등 기기를 바꿔가면서 들어보았는데도 출석 인정 처리가 되지 않았습니다 ㅠㅠ 너무 답답하네요 공지를 찾아봐도 원인을 알수가 없습니다.",kor
10638,Wbe56851477fc,user,B5d130234c2aw,2021-03-09 23:00:29,청강생을 추가했는데 안되는 것은 어떻게 해야 하나요?,kor
10641,Ad017002478ce,user,V71984203d7el,2021-03-09 23:56:08,"안녕하세요. 갑자기 강의 하나가 사라져서 연락드립니다.
저는 간호학과 21 김세연입니다. 학번은 2021200055이구요.
목요일 오후 2시부터 있는 박종규 선생님의 농구수업을 신청했는데, 블랙보드에서 온 메일에 대면수업 동의서를 작성하라고 되어 있어 링크를 클릭했더니 권한이 없다고 나옵니다.
그래서 정상적인 로그인으로 블랙보드에 들어갔더니 코스에 농구 강의가 뜨지 않습니다. 오늘 아침까지만 해도 있었던 것 같은데 왜 사라졌는지 모르겠습니다. 답변 주세요!!",kor
10646,R6e273754793t,user,O4381311a901u,2021-03-10 00:24:25,"오늘 상담을 받았습니다. 상담 내용은 청강하던 학부 과목이 어제부터 갑자기 수강 불가상태로 바뀌어서, 해당과목이 제 블랙보드에서 사라졌다는 것이었습니다.

문의결과, 수강정정기간이 끝남에따라 청강생을 일괄 사용 불가능상태가 되었다고 하셨고, 교수님께서 설정을 바꿀 수 있는 링크를 받았습니다.

그래서 그 링크를 교수님께 전달 드렸는데, 교수님께서 이제는 제 이름이 수강생 목록에서 사라졌다고 하십니다. 그래서 수강생 등록을 위해 제 학번을 아무리 검색해봐도 검색이 안 된다고 하십니다. 이 문제를 어떻게 해결해야 할까요.

그리고 혹시 교수님께서 직접 하시지 않고, 시스템 운영측에서 바로 저를 추가해줄 수 없냐고도 하시는데... 혹시 가능한지요.

답변 기다리겠습니다.",kor
10661,D9090901479fs,user,Y3a834334572m,2021-03-10 01:15:54,민법 시험을 두번째로 할려면 어떻게 하나요?,kor
10664,W9a321674809n,user,Wff63839377ej,2021-03-10 08:47:35,수업 이름 가리는데 옆으로 좀 치워주세요,kor
10669,G7666590480cs,user,Y1f97923a4f3c,2021-03-10 09:03:12,안녕하세요 kaltura 설정을 했는데도 카메라랑 마이크가 켜지지를 않네요ㅜㅜ어떻게 하면 될까요?,kor
10676,N8b98641480ds,user,U53247303b01h,2021-03-10 09:08:10,블랙보드를 통해 교수님께 메일을 보낼 수 있나요?,kor
10678,U1065690480fd,user,Eca26041a8d8r,2021-03-10 09:15:48,"안녕하세요 현재 학부 수업 조교인 대학원생입니다. 현재 정정 전에 청강생으로 등록했던 학생들이 과목이 코스에서 사라졌는데, 다시 등록하려고 하니 등록이 되지 않습니다(동일한 방법으로 시도했으나 이름 옆에 체크박스가 뜨지 않음) 방법이 어떻게 될까요?",kor
10687,S43779264810g,user,I1382548480fd,2021-03-10 09:18:55,수업 한개가 코스 목록에서 사라져서 수업을 못 듣고 있습니다..어떻게 해야 하나요?,kor
10700,Tab319664811e,user,Ff7919163840v,2021-03-10 09:24:14,강의가 정지되어있던 시간도 학습시간에 포함되나요? 모르는거 찾고 필기하느라 정지하는데 영상 자체는 배속을 한 상태로 들어서요. 출석 인정이 안될까봐 문의합니다.,kor
10706,Mdd144384811l,user,Uad477614d49r,2021-03-10 09:24:47,학생이 발표할 때 ppt를 공유하여 학생이 슬라이드를 스스로 넘기면서 할 수 있나요?,kor
10712,K58785494815k,user,J4f23803d4e1o,2021-03-10 09:38:55,안녕하세요 컴퓨터융합소프트웨어학과 조교수 김민호입니다,kor
10718,A34492484815i,user,Abc41815330du,2021-03-10 09:42:30,Zoom으로 수업할 때 출석체크는 blackboard통해 자동으로 할 수 없나요?,kor
10721,I2e720864818a,user,Ta0683704818g,2021-03-10 09:53:17,청강,kor
10726,Wd467364481aj,user,Pf8449034878w,2021-03-10 10:03:21,안녕하세요?,kor
10750,Oa929200481bt,user,Zc3488604819v,2021-03-10 10:06:33,"안녕하세요, Kaltura 를 이용해서 수업을 듣게 되었는데요, 접속 자체는 문제 없이 원활히 잘 되는데, 제 노트북 카메라와 마이크가 활성화가 되지 않습니다. 크롬을 사용중인데요, 브라우저에 주소창 옆에 자물쇠 버튼을 클릭해서 카메라와 마이크 설정을 허용으로 변경해도 똑같이 안 되었습니다. 혹시 카메라와 마이크를 활성화시킬 수 있는 다른 방법이 있을까요? 감사합니다.",kor
10768,Kcd17139481fo,user,F2218146481fu,2021-03-10 10:23:46,영상을 정지했던 시간도 학습시간 기록에 포함되나요?,kor
10773,A97421214822w,user,V7b154614776f,2021-03-10 10:37:44,안녕하세요! 어제부터 갑자기 크롬으로 블랙보드를 접속하면 과목 버튼들을 누를 수가 없습니다... 갑자기 이런 오류가 오늘까지 지속되고 있네요.. 어떻게 해야하나요??ㅠㅠ,kor
10780,Y01604034829s,user,Gca97161a9f2t,2021-03-10 11:04:42,"안녕하세요, 이상빈 교수님 전력전자공학 조교 맡고 있는 정지균이라고 합니다. 다름이 아니라, 청강생을 추가하려고 하는데 해당 학생에만 체크박스가 안 떠서 청강생 등록을 할 수 없어서 문의드립니다.",kor
10786,Idc11194482df,user,X6b5295743b1q,2021-03-11 11:07:27,"안녕하세요, 지금 줌으로 강의를 하고 있는데 자동 출석 체크 기능은 없나요? COLLABORATE 출석 체크는 수동으로만 가능하나요?",kor
10801,Hca678254830m,user,Bf5444241e39z,2021-03-10 11:34:32,과제 및 시험 방을 만들었는데 학생들이 Access 가 안되요,kor
10819,Pfc818744835u,user,H8b4756834efi,2021-03-10 11:57:56,자정진 질문과제 제출했는데 제출확인에 안 뜨는거 정상인가요?,kor
10828,Y1b746694835r,user,O1b831774b41a,2021-03-10 11:58:47,"안녕하세요! 질문있습니다!
zoom에서 ""Previous Meetings"" 란에, 저번에 진행한 강의 내역이 나와 있는데요. 여기에서 zoom 실시간 강의를 교수님께서 녹화하신 영상을 다시 볼 수 있는 건가요?",kor
10831,Ufb172084836y,user,K275347348e8b,2021-03-10 12:00:11,"안녕하세요 현재 조교활동중인 석사과정 학생입니다. 한가지 여쭤볼게 있는데요, 교수님께서 학부생들 출석체크를 하여 블랙보드에 입력을 하라고 하시는데, 블랙보드에 출석체크 할 수 있는 기능도 있는지 여쭤볼수 있을까요!!",kor
10859,Qde307274837h,user,W7b475584d9cy,2021-03-10 12:04:04,"크롬 멈춤 문제, 전화드렸었습니다",kor
10861,Ke1127054839x,user,V5c449434733v,2021-03-10 12:12:04,안녕하세요,kor
10868,N33212744841z,user,Z7e697248914q,2021-03-10 12:48:59,"안녕하세요, 고려대학교 국제대학원 Robert Rudolf 교수님 조교 허유리라고 합니다. 어제에 이어서 문의드리게 되서 정말 죄송합니다. 다름이 아니라 [IAC714고급국제개발협력세미나IV] 수업에 김남효 학생(2019470014)이 교수자로 등록이 되어 있어서 이 학생을 청강생으로 수정하고자 하는데, 블랙보드에서 수정이 안되서 문의드립니다.",kor
10873,B00692774843x,user,Qb1725354842t,2021-03-10 12:57:38,안녕하세요. zoom 채팅의 파일 전송은 참가자도 할 수 있는지 궁금합니다.,kor
10878,Mac205674844q,user,Ad9567154e65o,2021-03-10 13:02:19,"안녕하세요, 
월요일에 블랙보드 안내페이지에서 조교 아이디 신청을 했는데 아직 아이디 생성이 되지 않아 문의드립니다.",kor
10888,B06518004847t,user,U72640273eedh,2021-03-10 13:15:57,토론방에올린 과제를 어떻게 삭제하죠?,kor
10891,Ya6364224848b,user,S187879644bfp,2021-03-10 13:16:41,5-6교시 수업이 몇시부터 몇시까지인가요?,kor
10893,Gfd89437484bk,user,P40182793d18l,2021-03-10 13:28:48,안녕하세요 그 과제를 제출했는데 수정할수는 없는건가요?,kor
10896,O3018184484dm,user,V5c449434733v,2021-03-10 13:38:56,안녕하세요,kor
10900,Y6460332484ef,user,C98983753dfee,2021-03-10 13:41:41,"예산제도및정책 (김종면교수님)
20211R0478IIC43200

조세정책과경제개발(김재진교수님)
20211R0478IDC29700

한국의재정관리및예산편성(윤상호교수님)
20211R0478IKS22200",kor
10927,Hc3297004850r,user,M0e304754d8co,2021-03-10 13:52:27,안녕하세요 고려대세종 교수학습지원센터입니다. 문의가 들어왔는데요. 블랙보드 알림이 메일로 안온다고 하셔서요. 알림설정도 다 해놓았는데 안오신다고 하시네요!,kor
10932,If2836624851d,user,D1a148144c9df,2021-03-10 13:54:49,"안녕하세요, 청강 관련해서 문의드릴 게 있습니다",kor
10969,Lfd443654851b,user,Hfc371653916s,2021-03-10 13:55:52,수강신청은 실패했지만 교수님께서 추가해주신 과목은 언제 블랙보드에 추가될까요??,kor
10983,O83828794853m,user,T72692643cd1l,2021-03-10 14:04:26,"자유정의진리 질문 과제를 제출했는데, 과제 제출창에 들어가보면 제출 완료됐다고 뜨는데 제출과제 확인란에는 제출된 기록이 보이지 않습니다ㅜㅠ  제대로 제출된 건지 확인할 수 있는 방법이 있을까요?",kor
10994,B27626904856u,user,Z09790604855w,2021-03-10 14:18:25,안녕하세요. 수업 듣는 학생이 kaltura방에 드러오려고 하는데 잘 안되는 것 같습니다. Join meeting 누르고 이름과 이메일을 쳤는데 다시 로그인 페이지로 넘어간다고 합니다. 어떤 문제일까요??,kor
11023,G2087411485ai,user,Caa362451f97a,2021-03-10 14:34:18,콜라보레이트 사용해서 실시간 수업 진행하는데 지난 1주차에 올린 공유자료는 삭제하고 2주차 자료를 올려서 공유하면 되나요? 줌 처럼 매주 다른 세션이 저장되고 오픈되는 것이 아닌가요?,kor
11050,Ae5713404860k,user,N82958403c30t,2021-03-10 14:59:28,도구 표시줄은 어디서 찾나요?,kor
11063,Me4822074861s,user,S0554071a8dba,2021-03-10 15:04:39,안녕하세요,kor
11065,B20615214869v,user,E2290377142bq,2021-03-10 15:40:52,"선생님 안녕하세요. 녹화자료 배포에 대한 질문 드립니다. 
실시간 강의에 기술적 이유로 참여하지 못한 학생에게 녹화본을 제공하고 싶은데, 영상 파일을 학생 개인에게만 볼 수 있게 하는 방법이 블랙보드 내에 있는지요?

영상을 개인에게 이메일 등으로 전송하는 것은 저작권에 문제가 될까요?",kor
11072,Re836669486al,user,Gb752496e028c,2021-03-10 15:44:44,몇교시가 몇시에 시작하는지 궁금합니다,kor
11092,Qd010814486ew,user,W63434554b47q,2021-03-10 15:58:31,"kultra에 유투브 링크로 수업을 올려주신 경우에, 1배속으로 들어야 출석인정이 되나요?",kor
11096,T9031805486fi,user,A7a867462ccdm,2021-03-10 16:05:27,collaborate관련 질문입니다,kor
11113,Pc9110514870l,user,Y1d473744dabw,2021-03-10 16:09:57,안녕하세요 문의드릴 것이 있는데 저희 교수님께서 줌을 이용하여 강의를 하시고 녹화된 파일을 1주일간만 볼 수 있게하도록 하고 학생들이 다운은 못받게 할 수 있냐고 하셨습니다 강의자료쪽에 첨부기능을 이용해 업로드 해본 결과 크롬에서 다운이 가능하여 다른방법이 없는지 문의드립니다,kor
11119,N5d577594873c,user,G8663928a8cap,2021-03-10 16:20:30,안녕하세요. 고려대학교 화공생명공학과 2016170094학번 유난희입니다.,kor
11147,V36820234873s,user,Fe1892333c65i,2021-03-10 16:27:40,"안녕하세요! 저는 맥북+에어팟프로 조합으로 콜라보레이트 수업을 듣는데요, 아잉 수업을 할 때 자꾸 마이크 소리가 너무 작다고 하세요 ㅠㅠㅠㅠ 설정에서 마이크 점검해보면 에어팟으로 되어있고 그 보라색 게이지가 반쯤까지 채워지는데,, 뭐가 문제일까요 흑흑 연결도 다 되어있는데 ㅠㅠㅠ 에어팟 문제인가 싶어서 에어팟 연결 해제하고 그냥 컴퓨터마이크로 해도 안 들린다고 하시더라구요 ㅠㅠ 그리고 블랙보드에서 영상같은 거 볼 때나 실강 들을 때 가끔 소리가 한쪽에서만 나는데 사이트 문제인가요 제 에어팟 문제인가요 ㅠㅠㅠㅠ 도와주세요 질문이 넘 많아서 죄송하구,, 너무 감사합니다 조교선생님 ..ㅜㅡㅜ",kor
11152,Cf5144034875q,user,L9246024d6f3v,2021-03-19 11:13:20,안녕하세요,kor
11167,G7b726004875q,user,R792024829f4d,2021-03-10 16:31:56,안녕하세요. 과제채점을 하려고 하는데요. '과제보기'기 보이지 않습니다. 어디서 제출된 과제를 볼 수 있나요?,kor
11172,T2f693724877f,user,Y8c288984c9eq,2021-03-10 16:39:57,안녕하세요. 출결관련해서 문의 드릴게 있어서 연락드립니다.,kor
11193,H6e88612487bl,user,L474967838b2w,2021-03-10 16:56:00,공지사항에 첨부 파일 올리는 법,kor
11197,Cb9268234892p,user,Ve3863744c9be,2021-03-10 18:33:57,줌 수업 녹화영상,kor
11198,Y756346548a3x,user,Abe3067133bfs,2021-03-10 19:46:28,과목중에 하나가 옆에 공지사항 강의계획서 항목이 뜨지 않네요,kor
11202,J474563348a4b,user,Z70151043d90g,2021-03-10 19:49:21,과제 제출관련해서 파일업로드가 안되있는데 다시 업로드하거나 수정이안되서 문의드립니다.,kor
11208,Zcf3506648b1n,user,Pd3562744ca5s,2021-03-10 20:45:08,저기,kor
11277,M831173948b8c,user,Y4f291064c98n,2021-03-10 21:16:48,아무것도 안떠요,kor
11280,Q1e3845548bcp,user,Dcf5747148bcr,2021-03-10 21:33:04,안녕하세요. 줌 녹화 관련해서 문의를 드리려고 하는데요,kor
11296,H5c1946748ddu,user,Q762731540c6z,2021-03-10 23:55:17,대학원 신입생입니다. 온라인 강의 수강 및 강의 녹화본 조회를 어디서 할 수 있는지 궁금합니다.,kor
11303,S3a7537448e8j,user,Sc099266ab85q,2021-03-12 13:37:25,"안녕하세요. 경영대 조교 최지원입니다. 내일 EMBA 시험을 위해 시험(1문제 서술형)에 락다운브라우저를 설정하고 테스트 시험을 치는데- '저장 후 계속'을 누르면 저장되었다고 나오는데 '저장하기'나 '저장 후 제출'을 누르면 제출이 완료되지 않았다는 경고가 뜨고, 경고를 무시하고 제출하면 아무 답변이 저장되지 않은 것처럼 보입니다. 제가 뭔가 설정을 잘못한 것인지요.",kor
11390,V53813464959d,user,Caa362451f97a,2021-03-11 08:44:59,콜라보레이트로 실시간 수업하면서 시작 전 녹화버튼을 누르고 시작했는데 저장물은 어디서 볼 수 있나요?,kor
11401,Kb012330495ef,user,O2398374a8f6z,2021-03-11 09:04:25,"청강신청 수락해주셨고, 청강생목록에서 상태도 변경해놓았는데",kor
11416,B7033821496bl,user,C0e897904c52t,2021-03-11 09:59:48,"안녕하세요 맥북에서 kultura 통해 강의 들을 수 있는 방법 알려주실 수 있을까요? 현재는 <It seems your browser is blocking 3rd party session cookies which are required for the Kaltura application. To resolve this issue, please update your settings to allow 3rd party cookies.>라고 뜹니다!",kor
11423,Oe377691496cw,user,Kb049849a8c8q,2021-03-11 10:02:39,교수님께서 한 학기 청강으로 과목을 등록해주셨는데 이 경우에는 해당 과목이 kupid(포털) 시간표에는 안 뜨는 것이 맞나요?,kor
11427,Jee24276496cd,user,Ye886982cd15b,2021-03-11 10:03:57,블랙보드에서 강의 다시보기는 어떻게 들어가나요?,kor
11439,B0329568496es,user,K0e65720496es,2021-03-11 10:13:30,콜라보레이트 카메라가 안켜져요,kor
11483,Q3d893524970s,user,L6233152387dv,2021-03-11 10:20:25,실시간강의,kor
11487,Sfc544554970h,user,S3c87623f44be,2021-03-11 10:24:02,안녕하세요 어제 웹캠 문제 해결했다고 신나게 채팅날렸는데 오늘 아침에 또 깨지고 돌아왔습니다 ^^,kor
11501,I38499584973e,user,N5a287324b4ex,2021-03-11 10:33:40,"안녕하세요, 공과대학 건축사회환경공학부 김중훈 교수님 연구실 대학원생인 김태욱입니다. 
저는 조교로써 학부 수업인 [스마트시티물순환네트워크]를 담당하고 있습니다. 이 과목은 조교들이 특정 프로그램을 직접 시연하면서 학생들이 보고 따라할 수 있도록 진행합니다. 저희는 이 조교 실습을 녹화강의로써 진행해왔습니다.
학기 시작전 블랙보드 코스 당 용량 3GB 제한이라는 메일을 받았는데, 이 부분이 저히가 COMMONS를 이용해서 업로드하는 영상도 3GB가 제한이 되는 건지 궁금합니다.",kor
11511,Qdc591944974m,user,Sa486512eac5l,2021-03-11 10:38:01,교수님과 채팅도 가능한가요,kor
11519,Le4730494975q,user,Xb1555983d82l,2021-03-11 10:40:44,안녕하세요. 반도체프로세스 교과 조교 신정민입니다. Kaltura에서 Quiz를 출제 뒤 결과 보고서를 어디서 확인할 수 있는지 궁금합니다.,kor
11522,L9e755304976k,user,T97354314975k,2021-03-11 10:46:44,"안녕하세요 상담심리교육대학원 2019421118 홍지예입니다. 다름아니라 사회심리학 수업을 수강하고 있는데요, 교수님께서 블랙보드에 zoom 항목에 기간 반복을 설정하셨다고 했는데 수업 시간전에 뜨지 않는다고 하십니다.",kor
11544,Ze398678497aa,user,Y2b639904c78x,2021-03-11 11:03:42,콜라보레이트로 수업 후 세션에서 나가기를 선택한 후 블랙보드가 멈추고 전혀 자동을 안하는 현상이 있습니다. 작년에는 없던 현상인데...그리고 그 이후 크롬도 먹통이었다가 한참 후 작동됩니다. 뭐가 문제일까요?,kor
